"","Country","infant.mortality","gdp","Country_Code","internet_users_2010","internet_users_2011","region","fertility_rate","contraception"
"1","Afghanistan",154,2848,"AFG",4,5,NA,NA,NA
"2","Albania",32,863,"ALB",45,49,NA,NA,NA
"3","Algeria",44,1531,"DZA",12.5,14,"Africa",3.81,52
"4","American Samoa",NA,NA,"ASM",NA,NA,NA,NA,NA
"5","American.Samoa",11,NA,NA,NA,NA,NA,NA,NA
"6","Andorra",NA,NA,"AND",81,81,NA,NA,NA
"7","Angola",124,355,"AGO",10,14.776,NA,NA,NA
"8","Antigua",24,6966,NA,NA,NA,NA,NA,NA
"9","Antigua and Barbuda",NA,NA,"ATG",80,82,NA,NA,NA
"10","Argentina",22,8055,"ARG",40,47.704,NA,NA,NA
"11","Armenia",25,354,"ARM",25,32,"Europe",1.7,22
"12","Aruba",NA,NA,"ABW",42,57.06835805,NA,NA,NA
"13","Australia",6,20046,"AUS",76,79,"Oceania",1.89,76
"14","Austria",6,29006,"AUT",75.17,79.8,"Europe",1.42,71
"15","Azerbaijan",33,321,"AZE",46,50,"Asia",2.3,17
"16","Bahamas",14,12545,"BHS",43,65,"Americas",1.95,62
"17","Bahrain",18,9073,"BHR",55,77,"Asia",2.97,53
"18","Bangladesh",78,280,"BGD",3.7,5,"Asia",3.14,49
"19","Barbados",9,7173,"BRB",70.2,71.7657,"Americas",1.73,55
"20","Belarus",15,994,"BLR",31.8,39.6,"Europe",1.4,50
"21","Belgium",7,26582,"BEL",75,78,"Europe",1.62,79
"22","Belize",30,2569,"BLZ",14,NA,"Americas",3.66,47
"23","Benin",84,391,"BEN",3.13,3.5,"Africa",5.83,16
"24","Bermuda",NA,NA,"BMU",84.21,88.336,NA,NA,NA
"25","Bhutan",104,166,"BTN",13.6,21,"Asia",5.89,19
"26","Bolivia",66,909,"BOL",22.4,30,"Americas",4.36,45
"27","Bosnia",13,271,NA,NA,NA,NA,NA,NA
"28","Bosnia and Herzegovina",NA,NA,"BIH",52,60,NA,NA,NA
"29","Botswana",56,3640,"BWA",6,7,"Africa",4.45,33
"30","Brazil",42,4510,"BRA",40.65,45,"Americas",2.17,74
"31","Brunei",9,16683,NA,NA,NA,NA,NA,NA
"32","Brunei Darussalam",NA,NA,"BRN",53,56,NA,NA,NA
"33","Bulgaria",16,1518,"BGR",46.23,51,NA,NA,NA
"34","Burkina-Faso",NA,NA,NA,NA,NA,"Africa",6.57,8
"35","Burkina Faso",NA,NA,"BFA",2.4,3,NA,NA,NA
"36","Burkina.Faso",97,165,NA,NA,NA,NA,NA,NA
"37","Burundi",114,205,"BDI",1,1.11,"Africa",6.28,9
"38","Cambodia",102,130,"KHM",1.26,3.1,NA,NA,NA
"39","Cameroon",58,627,"CMR",4.3,5,"Africa",5.3,16
"40","Canada",6,18943,"CAN",80.3,83,"Americas",1.61,66
"41","Cape Verde",NA,NA,"CPV",30,32,NA,NA,NA
"42","Cape.Verde",41,994,NA,NA,NA,NA,NA,NA
"43","Cayman Islands",NA,NA,"CYM",66,69.46594499,NA,NA,NA
"44","Central-African-Rep",NA,NA,NA,NA,NA,"Africa",4.95,24
"45","Central African Republic",NA,NA,"CAF",2,2.2,NA,NA,NA
"46","Central.African.Rep",96,379,NA,NA,NA,NA,NA,NA
"47","Chad",115,187,"TCD",1.7,1.9,NA,NA,NA
"48","Channel Islands",NA,NA,"CHI",NA,NA,NA,NA,NA
"49","Chile",13,4736,"CHL",45,53.8938,"Americas",2.44,30
"50","China",38,582,"CHN",34.3,38.3,"Asia",1.8,83
"51","Colombia",24,2215,"COL",36.5,40.4,"Americas",2.69,72
"52","Comoros",82,367,"COM",5.1,5.5,"Africa",5.51,21
"53","Congo",90,1008,NA,NA,NA,NA,NA,NA
"54","Congo Dem. Rep.",NA,NA,"COD",0.72,1.2,NA,NA,NA
"55","Congo Rep.",NA,NA,"COG",5,5.6,NA,NA,NA
"56","Cook-Islands",NA,NA,NA,NA,NA,"Oceania",3.5,38
"57","Cook.Islands",26,5432,NA,NA,NA,NA,NA,NA
"58","Costa-Rica",NA,NA,NA,NA,NA,"Americas",2.95,75
"59","Costa Rica",NA,NA,"CRI",36.5,42.12,NA,NA,NA
"60","Costa.Rica",12,2696,NA,NA,NA,NA,NA,NA
"61","Cote d«Ivoire",NA,NA,"CIV",2.1,2.2,NA,NA,NA
"62","Croatia",10,4014,"HRV",60.32,70.71,NA,NA,NA
"63","Cuba",9,1983,"CUB",15.9,23.23,"Americas",1.55,70
"64","Curacao",NA,NA,"CUW",NA,NA,NA,NA,NA
"65","Cyprus",7,11459,"CYP",52.99,57.68,NA,NA,NA
"66","Czech-Republic",NA,NA,NA,NA,NA,"Europe",1.4,69
"67","Czech Republic",NA,NA,"CZE",68.82,72.97,NA,NA,NA
"68","Czech.Republic",9,4450,NA,NA,NA,NA,NA,NA
"69","Dem-Rep-of-the-Congo",NA,NA,NA,NA,NA,"Africa",6.24,8
"70","Dem.Rep.of.the.Congo",89,117,NA,NA,NA,NA,NA,NA
"71","Denmark",7,33191,"DNK",88.72,90,"Europe",1.82,78
"72","Djibouti",106,893,"DJI",6.5,7,NA,NA,NA
"73","Dominica",NA,2831,"DMA",47.45,51.3135,NA,NA,NA
"74","Dominican-Republic",NA,NA,NA,NA,NA,"Americas",2.8,64
"75","Dominican Republic",NA,NA,"DOM",31.4,35.5,NA,NA,NA
"76","Dominican.Republic",34,1508,NA,NA,NA,NA,NA,NA
"77","East.Timor",135,NA,NA,NA,NA,NA,NA,NA
"78","Ecuador",46,1565,"ECU",29.03,31.4,"Americas",3.1,57
"79","Egypt",54,973,"EGY",30.2,38.69,"Africa",3.4,47
"80","El-Salvador",NA,NA,NA,NA,NA,"Americas",3.09,53
"81","El Salvador",NA,NA,"SLV",15.9,17.68859598,NA,NA,NA
"82","El.Salvador",39,1660,NA,NA,NA,NA,NA,NA
"83","Equatorial Guinea",NA,NA,"GNQ",6,NA,NA,NA,NA
"84","Equatorial.Guinea",107,388,NA,NA,NA,NA,NA,NA
"85","Eritrea",98,96,"ERI",5.4,6.2,"Africa",5.34,5
"86","Estonia",12,2433,"EST",74.1,76.5,"Europe",1.3,70
"87","Ethiopia",107,96,"ETH",0.75,1.1,"Africa",7,4
"88","Faeroe Islands",NA,NA,"FRO",75.2,80.7321728,NA,NA,NA
"89","Fiji",20,2593,"FJI",20,28,"Oceania",2.76,40
"90","Finland",5,24453,"FIN",86.89,89.37,NA,NA,NA
"91","France",7,26444,"FRA",80.1,79.58,"Europe",1.63,77
"92","French Polynesia",NA,NA,"PYF",49,49,NA,NA,NA
"93","French.Guiana",22,23530,NA,NA,NA,NA,NA,NA
"94","French.Polynesia",10,19766,NA,NA,NA,NA,NA,NA
"95","Gabon",85,5007,"GAB",7.23,8,NA,NA,NA
"96","Gambia",122,321,"GMB",9.2,10.8703,"Africa",5.2,12
"97","Gaza.Strip",37,NA,NA,NA,NA,NA,NA,NA
"98","Georgia",23,343,"GEO",26.9,36.56,"Europe",1.9,17
"99","Germany",6,29632,"DEU",82,83,"Europe",1.3,75
"100","Ghana",73,397,"GHA",12.7,14.11,"Africa",5.28,20
"101","Greece",8,8684,"GRC",44.4,53,NA,NA,NA
"102","Greenland",NA,NA,"GRL",63,64,NA,NA,NA
