Country,region,fertility_rate,contraception
Spain,Europe,1.22,59
Estonia,Europe,1.3,70
Germany,Europe,1.3,75
Hong-Kong,Asia,1.32,86
Russia,Europe,1.35,32
Ukraine,Europe,1.38,23
Latvia,Europe,1.4,47
Belarus,Europe,1.4,50
Romania,Europe,1.4,57
Czech-Republic,Europe,1.4,69
Hungary,Europe,1.4,73
Austria,Europe,1.42,71
Switzerland,Europe,1.46,71
Japan,Oceania,1.48,59
Portugal,Europe,1.48,66
Lithuania,Europe,1.5,59
Slovakia,Europe,1.5,74
Cuba,Americas,1.55,70
Netherlands,Europe,1.55,78
Canada,Americas,1.61,66
Belgium,Europe,1.62,79
France,Europe,1.63,77
Korea-Republic-of,Asia,1.65,79
Armenia,Europe,1.7,22
United-Kingdom,Europe,1.72,82
Barbados,Americas,1.73,55
Thailand,Asia,1.74,74
Singapore,Oceania,1.79,74
Moldova,Europe,1.8,22
Sweden,Europe,1.8,78
China,Asia,1.8,83
Denmark,Europe,1.82,78
Norway,Europe,1.88,76
Australia,Oceania,1.89,76
Georgia,Europe,1.9,17
Bahamas,Americas,1.95,62
United-States,Americas,1.96,71
New-Zealand,Oceania,2.02,69
Trinidad-and-Tobago,Americas,2.1,53
Korea-Dem-Peoples-Rep,Asia,2.1,62
Puerto-Rico,Americas,2.1,64
Sri-Lanka,Asia,2.1,66
Reunion,Africa,2.1,67
Brazil,Americas,2.17,74
Mauritius,Africa,2.28,75
Azerbaijan,Asia,2.3,17
Kazakhstan,Asia,2.3,59
Chile,Americas,2.44,30
Jamaica,Americas,2.44,62
Turkey,Asia,2.5,63
New-Caledonia,Oceania,2.53,25
Saint-Kitts,Americas,2.63,41
Indonesia,Oceania,2.63,55
Panama,Americas,2.63,64
Colombia,Americas,2.69,72
Mexico,Americas,2.75,53
Fiji,Oceania,2.76,40
Kuwait,Asia,2.77,35
Dominican-Republic,Americas,2.8,64
Tunisia,Africa,2.92,60
Costa-Rica,Americas,2.95,75
Bahrain,Asia,2.97,53
Viet-Nam,Asia,2.97,65
Venezuela,Americas,2.98,52
Peru,Americas,2.98,64
India,Asia,3.07,41
El-Salvador,Americas,3.09,53
Morocco,Africa,3.1,50
Ecuador,Americas,3.1,57
Bangladesh,Asia,3.14,49
Kyrgyzstan,Asia,3.21,31
Malaysia,Oceania,3.24,48
Mongolia,Asia,3.27,61
Myanmar,Asia,3.3,17
Egypt,Africa,3.4,47
Uzbekistan,Asia,3.48,56
Cook-Islands,Oceania,3.5,38
Turkmenistan,Asia,3.58,20
Philippines,Oceania,3.62,40
Belize,Americas,3.66,47
Qatar,Asia,3.77,32
Samoa,Oceania,3.8,34
Kiribati,Oceania,3.8,37
South-Africa,Africa,3.81,50
Algeria,Africa,3.81,52
Saint-Lucia,Americas,3.82,47
Nicaragua,Americas,3.85,49
St-Vincent,Americas,3.86,58
Tajikistan,Asia,3.93,21
Syria,Asia,4,36
Tonga,Oceania,4.02,74
Paraguay,Americas,4.17,56
Honduras,Americas,4.3,47
Vanuatu,Oceania,4.36,15
Bolivia,Americas,4.36,45
Botswana,Africa,4.45,33
Swaziland,Africa,4.46,20
Marshall-Islands,Oceania,4.49,27
Haiti,Americas,4.6,18
Sudan,Africa,4.61,8
Zimbabwe,Africa,4.68,48
Iran,Asia,4.77,65
Kenya,Africa,4.85,33
Lesotho,Africa,4.86,23
Namibia,Africa,4.9,29
Guatemala,Americas,4.9,31
Central-African-Rep,Africa,4.95,24
Nepal,Asia,4.95,29
Pakistan,Asia,5.02,18
Mauritania,Africa,5.03,3
Ivory-Coast,Africa,5.1,11
Jordan,Asia,5.13,35
Gambia,Africa,5.2,12
Iraq,Asia,5.25,14
Ghana,Africa,5.28,20
Cameroon,Africa,5.3,16
Eritrea,Africa,5.34,5
Tanzania,Africa,5.48,18
Zambia,Africa,5.49,25
Comoros,Africa,5.51,21
Senegal,Africa,5.62,13
Madagascar,Africa,5.65,17
Benin,Africa,5.83,16
Bhutan,Asia,5.89,19
Libya,Africa,5.92,40
Nigeria,Africa,5.97,6
Rwanda,Africa,6,21
Togo,Africa,6.08,12
Dem-Rep-of-the-Congo,Africa,6.24,8
Burundi,Africa,6.28,9
Liberia,Africa,6.33,6
Burkina-Faso,Africa,6.57,8
Mali,Africa,6.6,7
Guinea,Africa,6.61,2
Laos,Asia,6.69,19
Malawi,Africa,6.69,22
Ethiopia,Africa,7,4
Niger,Africa,7.1,4
Uganda,Africa,7.1,15
Oman,Asia,7.2,9
Yemen,Asia,7.6,7
